Attribute,Value
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Bowlus
Revenue,552
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Boyden Arbor
Revenue,2484
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Bratt
Revenue,5198
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Broomtown
Revenue,1932
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Brown City
Revenue,5520
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Bruceton Mills
Revenue,7578.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Cache
Revenue,4519.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Cadogan
Revenue,1207.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Cale
Revenue,9384
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Caro
Revenue,4830
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Catesby
Revenue,3864
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Cherry Grove Beach
Revenue,1035
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,College Place
Revenue,1334
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Coney Island
Revenue,3864
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Connoquenessing
Revenue,4830
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Cortaro
Revenue,10867.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Cos Cob
Revenue,483
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Crossroads
Revenue,966
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Cundiyo
Revenue,2691
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Deeson
Revenue,2944
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Del Valle
Revenue,12075
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Devault
Revenue,6037.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Dunkerton
Revenue,1552.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,East Dailey
Revenue,2093
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,East Mountain
Revenue,552
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Edgecomb
Revenue,2484
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Ekron
Revenue,2346
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Elverson
Revenue,4657.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Fishtail
Revenue,2208
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Frankewing
Revenue,9384
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Furley
Revenue,10557
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Gilford
Revenue,4117
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Glen Avon
Revenue,11385
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Glen Park
Revenue,11385
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Hahira
Revenue,2001
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Hawarden
Revenue,2346
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Hayes Center
Revenue,4692
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Heartwell
Revenue,3553.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Heilwood
Revenue,8452.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Hiteman
Revenue,3415.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Hollandsburg
Revenue,4830
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Homer City
Revenue,598
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Huntingburg
Revenue,276
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Idaho City
Revenue,552
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Ikatan
Revenue,1000.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Indios
Revenue,6831
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Inguadona
Revenue,21631.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Jeromesville
Revenue,3381
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Kalvesta
Revenue,1840
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Kapa'a
Revenue,2484
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Karthaus
Revenue,1138.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Keosauqua
Revenue,11879.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Kerby
Revenue,2208
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,King Cove
Revenue,11385
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Lake Davis
Revenue,8602
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Lake Erie Beach
Revenue,12075
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Lake Ronkonkoma
Revenue,3760.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Lake Stevens
Revenue,1000.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Leathersville
Revenue,598
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Lemeta
Revenue,3622.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Lesslie
Revenue,5865
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Licking
Revenue,8970
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Lilbourn
Revenue,299
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Lost River
Revenue,1104
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Lucasville
Revenue,897
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Madrone
Revenue,2277
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Mamou
Revenue,2208
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Manchester Center
Revenue,276
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Maple Shade
Revenue,3864
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Marcell
Revenue,10246.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,McAdenville
Revenue,3312
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,McCamey
Revenue,2944
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Meaux
Revenue,9384
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Mier
Revenue,4830
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Molalla
Revenue,9315
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Moroni
Revenue,10867.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Naches
Revenue,2415
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Naples Park
Revenue,1173
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,North Beach Haven
Revenue,12075
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,North Cowden
Revenue,12558
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Northrop
Revenue,1000.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Obetz
Revenue,2944
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Oconto Falls
Revenue,2415
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Old River-Winfree
Revenue,7659
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Olivette
Revenue,2093
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Oologah
Revenue,2587.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Paw Paw Lake
Revenue,9108
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Plum Branch
Revenue,3415.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Point Roberts
Revenue,7969.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Rich Creek
Revenue,1656
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Robertsdale
Revenue,5198
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Rockwall
Revenue,10292.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Rosa Sánchez
Revenue,6371
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Sabinsville
Revenue,2587.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Saks
Revenue,1656
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Sallyards
Revenue,7969.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,San Jacinto
Revenue,2208
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Sentinel Butte
Revenue,1380
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Sinclair
Revenue,3622.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Slanesville
Revenue,5865
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Smoot
Revenue,2346
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Spillertown
Revenue,7245
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Stanardsville
Revenue,1104
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Statenville
Revenue,1035
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Sunburg
Revenue,7038
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Sylvanite
Revenue,736
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Tea
Revenue,2760
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Termo
Revenue,4968
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Teutopolis
Revenue,2990
